cnn_layers,filters_0,activation,filters_1,dense_units,dropout_after_dense,filters_2,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,tuner/trial_id,score
3,112,relu,48,128,False,16,15,5,2,2,0012,0.8377358317375183
2,128,relu,16,128,False,48,15,5,1,1,0018,0.8301886916160583
2,128,relu,16,128,False,16,15,5,2,2,0014,0.8075471520423889
3,112,relu,16,96,False,16,15,5,1,1,0021,0.8075471520423889
2,128,relu,16,96,False,16,15,0,0,0,,0.7886792421340942
3,112,relu,48,128,False,16,5,2,2,1,0004,0.7622641324996948
2,128,relu,16,128,False,16,5,2,2,1,0010,0.7358490824699402
2,128,relu,16,128,False,48,5,0,1,0,,0.7358490824699402
3,128,relu,48,128,False,48,5,2,2,1,0000,0.7320754528045654
2,112,relu,16,96,False,16,5,2,2,1,0002,0.6792452931404114
